Record ID,Account,Product,Vendor,Current Qty,Reorder Threshold,Avg Daily Usage,Days of Cover,Documentation Status,Vendor Follow-up,Client Reporting Status,Last Review Date,Next Action Due,AI Risk Type,AI Risk Score,AI Risk Rating,Owner,Workflow Status,AI Recommended Action
IR-001,SeaWorld,Collectible Coin - Gold Series,MintWorks Supply,194,60,15,12.9,Missing reorder approval,Due in 24 hrs,Sent,2026-05-11,2026-06-13,Documentation Control Gap,20,Low,Fulfillment Lead,Open,Review Collectible Coin - Gold Series; confirm replenishment need; update SeaWorld reporting log; attach evidence.
IR-012,Universal Studios,Commemorative Medallion,MintWorks Supply,179,100,11,16.3,Evidence not attached,Overdue 2 days,Pending,2026-05-29,2026-06-06,Documentation Control Gap,35,Low,Project Analyst,In Review,Review Commemorative Medallion; confirm replenishment need; update Universal Studios reporting log; attach evidence.
IR-013,Universal Studios,Collectible Coin - Gold Series,Coastal Collectibles,133,50,24,5.5,Complete,Overdue 2 days,Drafted,2026-05-28,2026-06-07,Follow-up / Escalation Risk,30,Low,Vendor Manager,Monitoring,Review Collectible Coin - Gold Series; confirm replenishment need; update Universal Studios reporting log; attach evidence.
IR-014,SeaWorld,Collectible Coin - Gold Series,Coastal Collectibles,130,40,11,11.8,Missing vendor confirmation,Overdue 2 days,Drafted,2026-05-31,2026-06-05,Documentation Control Gap,30,Low,Fulfillment Lead,Open,Review Collectible Coin - Gold Series; confirm replenishment need; update SeaWorld reporting log; attach evidence.
IR-015,Disney,Seasonal Event Coin,ParkVend Fulfillment,213,40,32,6.7,Evidence not attached,Due in 24 hrs,Drafted,2026-05-11,2026-06-09,Documentation Control Gap,35,Low,Fulfillment Lead,In Review,Review Seasonal Event Coin; confirm replenishment need; update Disney reporting log; attach evidence.
IR-016,Universal Studios,Commemorative Medallion,ParkVend Fulfillment,59,90,32,1.8,Missing reorder approval,Overdue 2 days,Overdue,2026-05-11,2026-06-12,Stockout Risk,100,High,Compliance Analyst,Resolved,Review Commemorative Medallion; confirm replenishment need; update Universal Studios reporting log; attach evidence.
IR-017,SeaWorld,Limited Edition Token,MintWorks Supply,68,50,10,6.8,Missing vendor confirmation,Current,Drafted,2026-05-14,2026-06-05,Documentation Control Gap,40,Medium,Commercial Ops,Open,Review Limited Edition Token; confirm replenishment need; update SeaWorld reporting log; attach evidence.
IR-018,SeaWorld,Seasonal Event Coin,MintWorks Supply,63,40,9,7.0,Missing vendor confirmation,Current,Drafted,2026-05-24,2026-06-12,Documentation Control Gap,30,Low,Project Analyst,In Review,Review Seasonal Event Coin; confirm replenishment need; update SeaWorld reporting log; attach evidence.
IR-019,SeaWorld,Collectible Coin - Silver Series,ParkVend Fulfillment,67,75,33,2.0,Pending client report,Due in 24 hrs,Sent,2026-05-29,2026-06-12,Stockout Risk,80,High,Project Analyst,Escalated,Review Collectible Coin - Silver Series; confirm replenishment need; update SeaWorld reporting log; attach evidence.
IR-020,Universal Studios,Limited Edition Token,ParkVend Fulfillment,226,100,9,25.1,Complete,Current,Overdue,2026-05-22,2026-06-03,Client Reporting Risk,10,Low,Vendor Manager,In Review,Review Limited Edition Token; confirm replenishment need; update Universal Studios reporting log; attach evidence.
IR-021,Disney,Commemorative Medallion,ParkVend Fulfillment,40,75,13,3.1,Missing vendor confirmation,Overdue 5 days,Drafted,2026-05-30,2026-06-09,Stockout Risk,90,High,Fulfillment Lead,Open,Review Commemorative Medallion; confirm replenishment need; update Disney reporting log; attach evidence.
IR-022,Disney,Seasonal Event Coin,MintWorks Supply,28,50,13,2.2,Pending client report,Overdue 5 days,Overdue,2026-05-26,2026-06-08,Stockout Risk,100,High,Commercial Ops,In Review,Review Seasonal Event Coin; confirm replenishment need; update Disney reporting log; attach evidence.
IR-023,Universal Studios,Collectible Coin - Gold Series,ParkVend Fulfillment,72,75,17,4.2,Pending client report,Escalated,Overdue,2026-05-28,2026-06-05,Stockout Risk,100,High,Compliance Analyst,In Review,Review Collectible Coin - Gold Series; confirm replenishment need; update Universal Studios reporting log; attach evidence.
IR-024,Disney,Commemorative Medallion,MintWorks Supply,196,60,9,21.8,Complete,Escalated,Overdue,2026-05-16,2026-06-10,Follow-up / Escalation Risk,25,Low,Vendor Manager,Open,Review Commemorative Medallion; confirm replenishment need; update Disney reporting log; attach evidence.
IR-025,SeaWorld,Collectible Coin - Gold Series,Heritage Tokens,22,90,10,2.2,Missing reorder approval,Overdue 5 days,Sent,2026-05-14,2026-06-05,Stockout Risk,90,High,Fulfillment Lead,Monitoring,Review Collectible Coin - Gold Series; confirm replenishment need; update SeaWorld reporting log; attach evidence.
IR-026,Disney,Commemorative Medallion,MintWorks Supply,112,100,26,4.3,Evidence not attached,Escalated,Pending,2026-05-24,2026-06-05,Documentation Control Gap,70,High,Compliance Analyst,In Review,Review Commemorative Medallion; confirm replenishment need; update Disney reporting log; attach evidence.
IR-027,Universal Studios,Limited Edition Token,Heritage Tokens,176,100,17,10.4,Pending client report,Overdue 2 days,Sent,2026-06-01,2026-06-09,Follow-up / Escalation Risk,30,Low,Fulfillment Lead,Monitoring,Review Limited Edition Token; confirm replenishment need; update Universal Studios reporting log; attach evidence.
IR-028,Disney,Collectible Coin - Gold Series,Heritage Tokens,134,60,12,11.2,Missing vendor confirmation,Current,Drafted,2026-05-21,2026-06-06,Documentation Control Gap,15,Low,Vendor Manager,Resolved,Review Collectible Coin - Gold Series; confirm replenishment need; update Disney reporting log; attach evidence.
IR-029,SeaWorld,Seasonal Event Coin,Coastal Collectibles,161,100,24,6.7,Complete,Escalated,Pending,2026-05-11,2026-06-03,Follow-up / Escalation Risk,35,Low,Vendor Manager,Escalated,Review Seasonal Event Coin; confirm replenishment need; update SeaWorld reporting log; attach evidence.
IR-030,Disney,Collectible Coin - Gold Series,Heritage Tokens,74,60,27,2.7,Missing reorder approval,Overdue 2 days,Drafted,2026-05-11,2026-06-12,Documentation Control Gap,65,Medium,Compliance Analyst,Monitoring,Review Collectible Coin - Gold Series; confirm replenishment need; update Disney reporting log; attach evidence.
IR-031,Universal Studios,Pressed Penny - Park Icon,MintWorks Supply,28,100,21,1.3,Missing vendor confirmation,Current,Sent,2026-05-22,2026-06-04,Stockout Risk,75,High,Compliance Analyst,In Review,Review Pressed Penny - Park Icon; confirm replenishment need; update Universal Studios reporting log; attach evidence.
IR-032,SeaWorld,Limited Edition Token,ParkVend Fulfillment,148,40,11,13.5,Complete,Due in 24 hrs,Sent,2026-05-21,2026-06-11,Monitoring,5,Low,Fulfillment Lead,In Review,Review Limited Edition Token; confirm replenishment need; update SeaWorld reporting log; attach evidence.
IR-033,Universal Studios,Collectible Coin - Silver Series,MintWorks Supply,83,60,33,2.5,Complete,Overdue 2 days,Drafted,2026-05-11,2026-06-05,Follow-up / Escalation Risk,50,Medium,Commercial Ops,Escalated,Review Collectible Coin - Silver Series; confirm replenishment need; update Universal Studios reporting log; attach evidence.
IR-034,SeaWorld,Limited Edition Token,Heritage Tokens,65,50,33,2.0,Missing reorder approval,Overdue 5 days,Sent,2026-05-27,2026-06-13,Documentation Control Gap,65,Medium,Compliance Analyst,Resolved,Review Limited Edition Token; confirm replenishment need; update SeaWorld reporting log; attach evidence.
IR-035,SeaWorld,Seasonal Event Coin,Heritage Tokens,73,50,33,2.2,Complete,Overdue 5 days,Sent,2026-05-17,2026-06-05,Follow-up / Escalation Risk,50,Medium,Vendor Manager,Resolved,Review Seasonal Event Coin; confirm replenishment need; update SeaWorld reporting log; attach evidence.
IR-036,Universal Studios,Pressed Penny - Park Icon,Heritage Tokens,62,40,29,2.1,Missing reorder approval,Overdue 5 days,Pending,2026-05-24,2026-06-03,Documentation Control Gap,60,Medium,Compliance Analyst,Escalated,Review Pressed Penny - Park Icon; confirm replenishment need; update Universal Studios reporting log; attach evidence.
